"","meanImp","medianImp","minImp","maxImp","normHits","decision","Execution","Variable"
"LogIC50",10.6521828618176,10.7972212857066,0,13.2528668025966,0.98748921484038,"Confirmed",10,"LogIC50"
"IC50",10.5573458406575,10.6935443078415,0,13.1468191494569,0.987057808455565,"Confirmed",10,"IC50"
"PBRM1",3.17472079043746,3.24648563201988,-0.910128512495081,5.34365683941905,0.595340811044003,"Confirmed",10,"PBRM1"
