"","meanImp","medianImp","minImp","maxImp","normHits","decision","Execution","Variable"
"LINC01242",6.92468093028821,8.51212437136279,0,10.6541125066053,0.69620253164557,"Confirmed",1,"LINC01242"
"LogIC50...2",9.09006362381546,10.0415178529758,0,13.0077707927596,0.891783567134269,"Confirmed",2,"LogIC50"
"IC50...3",9.01669734517426,9.99954167465491,0,11.7805978717114,0.887775551102204,"Confirmed",3,"IC50"
"LogIC50...4",9.16599963798703,10.1009490391616,0,11.9196737925345,0.901803607214429,"Confirmed",4,"LogIC50"
"SPATA48",6.67943325100366,7.21632243190193,0,10.5004490106993,0.610204081632653,"Confirmed",9,"SPATA48"
"LogIC50...6",8.71273065397239,9.6305692729949,0,11.7473415639504,0.897795591182365,"Confirmed",10,"LogIC50"
"IC50...7",8.63014085508237,9.53054790944375,0,11.3897864667972,0.897795591182365,"Confirmed",10,"IC50"
