"","meanImp","medianImp","minImp","maxImp","normHits","decision","Execution","Variable"
"LogIC50",8.71273065397239,9.6305692729949,0,11.7473415639504,0.897795591182365,"Confirmed",10,"LogIC50"
"IC50",8.63014085508237,9.53054790944375,0,11.3897864667972,0.897795591182365,"Confirmed",10,"IC50"
