"","meanImp","medianImp","minImp","maxImp","normHits","decision","Execution","Variable"
"LogIC50",5.79696404071513,6.21894751554146,0,8.10196334808345,0.917983596719344,"Confirmed",10,"LogIC50"
"IC50",5.75480743606659,6.16786538158583,0,7.99030246768931,0.919383876775355,"Confirmed",10,"IC50"
