"","meanImp","medianImp","minImp","maxImp","normHits","decision","Execution","Variable"
"LogIC50",9.11222379480892,9.23912708036315,0,11.5685456444592,0.985797159431886,"Confirmed",10,"LogIC50"
"IC50",9.26898901418686,9.39797967010693,0,11.7699764352966,0.98619723944789,"Confirmed",10,"IC50"
"NOTCH2",5.46082711523315,5.55217057876247,0,7.66807891173235,0.91378275655131,"Confirmed",10,"NOTCH2"
"ARHGEF10",5.38013805444844,5.46849421545973,0,7.5840579466204,0.910982196439288,"Confirmed",10,"ARHGEF10"
"ABI1",2.91030758792755,2.99260361532393,-0.618111531147758,5.02178215738109,0.656531306261252,"Confirmed",10,"ABI1"
