"","gene_symbols","IST-MES1","MPP-89","MSTO-211H","NCI-H2052","NCI-H226","NCI-H2369","NCI-H2373","NCI-H2452","NCI-H2461","NCI-H2591","NCI-H2595","NCI-H2722","NCI-H2731","NCI-H2795","NCI-H28","NCI-H2803","NCI-H2804","NCI-H2810","NCI-H2818","NCI-H2869","NCI-H290"
"4025","COTL1","4.0","2.0","2.0","4.0","2.0","3.0","2.0","4.0","4.0","2.0","3.0","2.0","2.0","2.0","3.0","2.0","4.0","3.0","4.0","1.0","3.0"
"4026","COTL1P2","4.0","2.0","4.0","6.0","2.0","2.0","2.0","3.0","4.0","1.0","3.0","4.0","2.0","2.0","3.0","2.0","2.0","4.0","4.0","2.0","4.0"
"4027","COX4I1","4.0","2.0","2.0","4.0","2.0","3.0","2.0","4.0","4.0","2.0","3.0","2.0","2.0","2.0","3.0","2.0","4.0","3.0","4.0","1.0","3.0"
"4028","COX4I1P2","2.0","2.0","3.0","3.0","2.0","2.0","3.0","2.0","4.0","1.0","3.0","2.0","2.0","2.0","4.0","2.0","3.0","2.0","2.0","2.0","3.0"
"4029","COX4I2","4.0","4.0","5.0","6.0","2.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","4.0"
"4030","COX5A","3.0","2.0","3.0","3.0","3.0","4.0","2.0","4.0","5.0","3.0","3.0","4.0","2.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","3.0"
"4031","COX5B","4.0","2.0","4.0","6.0","2.0","3.0","2.0","4.0","5.0","2.0","3.0","5.0","3.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","4.0"
"4032","COX5BP1","3.0","2.0","4.0","4.0","2.0","4.0","1.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","3.0"
"4033","COX5BP2","3.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","5.0","1.0","4.0","4.0","4.0","1.0","4.0","2.0","2.0","4.0","2.0","2.0","2.0"
"4034","COX5BP3","4.0","2.0","4.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","5.0","3.0","1.0","4.0","2.0","2.0","3.0","4.0","2.0","3.0"
"4035","COX5BP6","4.0","3.0","3.0","6.0","2.0","2.0","2.0","2.0","4.0","2.0","3.0","2.0","2.0","2.0","4.0","2.0","4.0","2.0","2.0","2.0","3.0"
"4036","COX5BP7","2.0","2.0","2.0","3.0","1.0","3.0","1.0","2.0","3.0","1.0","2.0","2.0","2.0","2.0","4.0","1.0","2.0","2.0","2.0","1.0","2.0"
"4037","COX5BP8","2.0","3.0","3.0","1.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","2.0","2.0","5.0","2.0","5.0","2.0","4.0","3.0","5.0"
"4038","COX6A1","3.0","2.0","4.0","4.0","2.0","6.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"4039","COX6A1P2","4.0","3.0","3.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","3.0"
"4040","COX6A1P3","3.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","5.0","1.0","4.0","3.0","4.0","1.0","4.0","2.0","2.0","2.0","2.0","2.0","2.0"
"4041","COX6A2","3.0","2.0","3.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"4042","COX6B1","4.0","3.0","3.0","4.0","2.0","4.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","3.0"
"4043","COX6B1P1","4.0","2.0","4.0","2.0","2.0","2.0","2.0","4.0","5.0","2.0","4.0","4.0","3.0","1.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"4044","COX6B1P2","4.0","2.0","4.0","4.0","2.0","4.0","2.0","5.0","6.0","2.0","4.0","4.0","3.0","3.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0"
"4045","COX6B1P3","2.0","2.0","2.0","4.0","1.0","3.0","1.0","2.0","3.0","1.0","2.0","2.0","2.0","2.0","4.0","1.0","2.0","2.0","2.0","1.0","2.0"
"4046","COX6B1P7","3.0","2.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","2.0","4.0","5.0","2.0","2.0","5.0","2.0","3.0","3.0","4.0","1.0","4.0"
"4047","COX6B2","4.0","3.0","4.0","3.0","3.0","4.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","3.0"
"4048","COX6C","4.0","3.0","3.0","7.0","2.0","4.0","2.0","3.0","6.0","2.0","2.0","4.0","3.0","3.0","3.0","1.0","6.0","4.0","3.0","2.0","4.0"
"4049","COX6CP2","4.0","4.0","3.0","6.0","2.0","4.0","2.0","4.0","6.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","4.0"
"4050","COX7A1","4.0","3.0","3.0","4.0","2.0","4.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","3.0"
"4051","COX7A2","4.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","1.0","4.0","2.0","2.0","4.0","2.0","2.0","2.0"
"4052","COX7A2L","4.0","2.0","4.0","6.0","2.0","3.0","2.0","4.0","5.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","3.0","2.0","4.0"
"4053","COX7A2P2","3.0","2.0","4.0","4.0","2.0","4.0","1.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","2.0"
"4054","COX7B","4.0","1.0","2.0","3.0","1.0","2.0","1.0","2.0","2.0","1.0","2.0","2.0","1.0","1.0","2.0","1.0","2.0","2.0","2.0","1.0","2.0"
"4055","COX7B2","3.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","3.0"
"4056","COX7BP2","4.0","4.0","3.0","6.0","2.0","4.0","2.0","4.0","5.0","2.0","2.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","4.0"
"4057","COX7C","3.0","2.0","4.0","4.0","2.0","4.0","2.0","4.0","6.0","2.0","2.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","4.0"
"4058","COX7CP1","2.0","2.0","3.0","3.0","2.0","2.0","3.0","2.0","4.0","1.0","3.0","2.0","2.0","2.0","4.0","2.0","3.0","2.0","2.0","2.0","3.0"
"4059","COX8A","3.0","2.0","3.0","5.0","2.0","4.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","3.0","2.0","3.0","4.0","4.0","2.0","3.0"
"4060","COX8C","4.0","3.0","4.0","3.0","2.0","3.0","2.0","2.0","3.0","1.0","3.0","4.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","3.0"
"4061","COX10","4.0","2.0","4.0","4.0","2.0","2.0","2.0","3.0","4.0","2.0","4.0","4.0","2.0","2.0","3.0","2.0","2.0","5.0","4.0","2.0","5.0"
"4062","COX10-AS1","4.0","2.0","4.0","4.0","2.0","2.0","2.0","3.0","4.0","2.0","4.0","4.0","2.0","2.0","3.0","2.0","2.0","5.0","4.0","2.0","5.0"
"4063","COX11","4.0","2.0","4.0","4.0","2.0","4.0","2.0","4.0","6.0","2.0","4.0","4.0","3.0","3.0","6.0","2.0","4.0","5.0","4.0","2.0","4.0"
"4064","COX11P1","4.0","3.0","3.0","3.0","2.0","4.0","2.0","4.0","5.0","1.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","3.0"
"4065","COX14","3.0","2.0","4.0","4.0","3.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","4.0","1.0","4.0","3.0","4.0","2.0","4.0"
"4066","COX15","3.0","2.0","2.0","4.0","2.0","4.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","1.0","4.0","2.0","2.0","3.0","4.0","2.0","3.0"
"4067","COX16","4.0","3.0","4.0","3.0","2.0","3.0","2.0","2.0","3.0","1.0","3.0","4.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","3.0"
"4068","COX17","4.0","2.0","4.0","4.0","1.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","1.0","3.0"
"4069","COX17P1","2.0","2.0","3.0","3.0","2.0","2.0","3.0","2.0","4.0","1.0","3.0","2.0","2.0","2.0","4.0","2.0","3.0","2.0","2.0","2.0","3.0"
"4070","COX18","3.0","2.0","4.0","4.0","2.0","4.0","1.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","3.0"
"4071","COX19","4.0","2.0","4.0","2.0","2.0","6.0","2.0","5.0","9.0","2.0","4.0","4.0","4.0","3.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"4072","COX20","3.0","3.0","3.0","3.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","2.0","2.0","5.0","2.0","5.0","3.0","4.0","3.0","3.0"
"4073","CP","2.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","2.0","4.0","1.0","3.0"
"4074","CPA1","4.0","2.0","4.0","2.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","3.0","1.0","4.0","2.0","2.0","3.0","4.0","2.0","3.0"
"4075","CPA2","4.0","2.0","4.0","2.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","3.0","1.0","4.0","2.0","2.0","3.0","4.0","2.0","3.0"
"4076","CPA3","2.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","2.0","4.0","1.0","3.0"
"4077","CPA4","4.0","2.0","4.0","2.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","3.0","1.0","4.0","2.0","2.0","3.0","4.0","2.0","3.0"
"4078","CPA5","4.0","2.0","4.0","2.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","3.0","1.0","4.0","2.0","2.0","3.0","4.0","2.0","3.0"
"4079","CPA6","4.0","3.0","3.0","5.0","2.0","4.0","2.0","2.0","6.0","2.0","2.0","4.0","3.0","3.0","3.0","1.0","4.0","4.0","3.0","1.0","4.0"
"4080","CPAMD8","4.0","2.0","3.0","3.0","2.0","4.0","2.0","4.0","4.0","1.0","2.0","4.0","3.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","3.0"
"4081","CPB1","2.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","2.0","4.0","1.0","3.0"
"4082","CPB2","2.0","2.0","3.0","3.0","2.0","2.0","3.0","2.0","4.0","1.0","3.0","2.0","2.0","2.0","4.0","2.0","3.0","2.0","2.0","2.0","3.0"
"4083","CPB2-AS1","2.0","2.0","3.0","3.0","2.0","2.0","3.0","2.0","4.0","1.0","3.0","2.0","2.0","2.0","4.0","2.0","3.0","2.0","2.0","2.0","3.0"
"4084","CPD","4.0","2.0","4.0","4.0","2.0","2.0","2.0","3.0","4.0","2.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","3.0"
"4085","CPE","3.0","2.0","4.0","3.0","2.0","4.0","2.0","2.0","5.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","1.0","3.0"
"4086","CPEB1","3.0","2.0","3.0","3.0","3.0","4.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","3.0"
"4087","CPEB2","3.0","2.0","5.0","4.0","2.0","3.0","1.0","4.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","2.0"
"4088","CPEB3","3.0","2.0","2.0","4.0","2.0","4.0","2.0","4.0","4.0","2.0","2.0","5.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","3.0"
"4089","CPEB4","4.0","2.0","4.0","4.0","2.0","4.0","1.0","4.0","6.0","2.0","4.0","4.0","3.0","2.0","5.0","2.0","4.0","4.0","4.0","2.0","3.0"
"4090","CPED1","4.0","2.0","4.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","5.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"4091","CPHL1P","2.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","2.0","4.0","1.0","3.0"
"4092","CPLANE1","4.0","4.0","4.0","6.0","2.0","6.0","2.0","4.0","8.0","2.0","4.0","4.0","3.0","2.0","4.0","2.0","6.0","4.0","4.0","2.0","4.0"
"4093","CPLANE2","2.0","2.0","3.0","3.0","2.0","4.0","1.0","4.0","3.0","1.0","3.0","2.0","2.0","1.0","2.0","2.0","3.0","3.0","4.0","1.0","2.0"
"4094","CPLX1","3.0","2.0","4.0","3.0","2.0","3.0","1.0","4.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","3.0"
"4095","CPLX2","4.0","2.0","4.0","4.0","2.0","4.0","1.0","4.0","6.0","2.0","4.0","4.0","3.0","2.0","5.0","2.0","4.0","4.0","4.0","2.0","3.0"
"4096","CPLX3","3.0","2.0","3.0","3.0","3.0","4.0","2.0","4.0","5.0","3.0","3.0","4.0","2.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","3.0"
"4097","CPLX4","2.0","2.0","4.0","3.0","2.0","3.0","2.0","2.0","5.0","2.0","3.0","4.0","1.0","2.0","2.0","1.0","2.0","2.0","2.0","1.0","3.0"
"4098","CPM","3.0","2.0","4.0","4.0","3.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"4099","CPN1","3.0","2.0","2.0","4.0","2.0","4.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","1.0","4.0","2.0","2.0","3.0","4.0","2.0","3.0"
"4100","CPN2","4.0","2.0","4.0","3.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","1.0","3.0"
"4101","CPNE1","4.0","4.0","3.0","6.0","2.0","4.0","2.0","4.0","5.0","2.0","2.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","4.0"
"4102","CPNE2","3.0","2.0","6.0","4.0","2.0","3.0","2.0","4.0","6.0","2.0","3.0","2.0","2.0","2.0","3.0","2.0","4.0","3.0","4.0","1.0","4.0"
"4103","CPNE3","4.0","3.0","3.0","7.0","2.0","4.0","2.0","3.0","6.0","2.0","2.0","4.0","3.0","3.0","3.0","1.0","5.0","4.0","3.0","2.0","4.0"
"4104","CPNE4","4.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","2.0","4.0","1.0","3.0"
"4105","CPNE5","4.0","3.0","3.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","3.0"
"4106","CPNE6","4.0","3.0","4.0","3.0","2.0","2.0","2.0","2.0","3.0","1.0","3.0","4.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","2.0"
"4107","CPNE7","4.0","2.0","2.0","4.0","2.0","3.0","2.0","4.0","3.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","4.0","3.0","4.0","1.0","2.0"
"4108","CPNE8","3.0","2.0","4.0","4.0","3.0","4.0","2.0","4.0","6.0","2.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"4109","CPNE9","4.0","3.0","3.0","4.0","2.0","3.0","2.0","2.0","3.0","2.0","4.0","4.0","3.0","2.0","5.0","2.0","4.0","2.0","4.0","1.0","4.0"
"4110","CPO","4.0","1.0","4.0","4.0","1.0","3.0","2.0","2.0","5.0","2.0","3.0","3.0","3.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","3.0"
"4111","CPOX","4.0","2.0","3.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","1.0","3.0"
"4112","CPPED1","3.0","2.0","3.0","4.0","2.0","3.0","2.0","3.0","5.0","2.0","4.0","3.0","2.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"4113","CPS1","4.0","1.0","2.0","4.0","1.0","3.0","2.0","2.0","5.0","2.0","3.0","4.0","3.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","3.0"
"4114","CPSF1","5.0","2.0","6.0","6.0","2.0","4.0","2.0","4.0","8.0","2.0","3.0","4.0","2.0","3.0","3.0","1.0","6.0","4.0","2.0","2.0","3.0"
"4115","CPSF1P1","2.0","2.0","3.0","4.0","1.0","3.0","1.0","2.0","3.0","1.0","2.0","2.0","1.0","2.0","4.0","1.0","2.0","3.0","2.0","1.0","2.0"
"4116","CPSF2","4.0","3.0","4.0","3.0","2.0","3.0","2.0","2.0","3.0","1.0","3.0","4.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","3.0"
"4117","CPSF3","2.0","2.0","4.0","6.0","2.0","3.0","2.0","4.0","5.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"4118","CPSF4","4.0","2.0","4.0","2.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","1.0","4.0","3.0","4.0","2.0","3.0"
"4119","CPSF4L","4.0","2.0","4.0","5.0","2.0","4.0","2.0","3.0","6.0","2.0","4.0","4.0","3.0","3.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0"
"4120","CPSF6","3.0","2.0","4.0","4.0","3.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"4121","CPSF7","3.0","2.0","3.0","5.0","2.0","4.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","3.0","2.0","3.0","4.0","4.0","2.0","3.0"
"4122","CPT1A","3.0","2.0","3.0","5.0","2.0","4.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","3.0","2.0","3.0","4.0","4.0","2.0","3.0"
"4123","CPT1B","2.0","2.0","2.0","3.0","1.0","3.0","1.0","2.0","3.0","1.0","2.0","2.0","2.0","2.0","4.0","1.0","2.0","2.0","2.0","1.0","2.0"
"4124","CPT1C","4.0","3.0","4.0","4.0","2.0","4.0","2.0","2.0","4.0","2.0","3.0","4.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","1.0","3.0"
"4125","CPT2","3.0","2.0","3.0","3.0","2.0","4.0","2.0","4.0","4.0","2.0","4.0","5.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","1.0","4.0"
"4126","CPTP","2.0","2.0","3.0","3.0","2.0","4.0","1.0","4.0","4.0","1.0","3.0","2.0","2.0","1.0","2.0","2.0","3.0","3.0","4.0","1.0","2.0"
"4127","CPVL","4.0","2.0","4.0","3.0","3.0","6.0","2.0","4.0","9.0","2.0","4.0","5.0","4.0","3.0","4.0","2.0","4.0","4.0","4.0","3.0","4.0"
"4128","CPXCR1","4.0","1.0","2.0","2.0","1.0","2.0","1.0","2.0","2.0","1.0","2.0","3.0","1.0","1.0","2.0","1.0","2.0","2.0","2.0","1.0","2.0"
"4129","CPXM1","4.0","2.0","3.0","5.0","1.0","3.0","2.0","4.0","6.0","2.0","3.0","4.0","2.0","2.0","3.0","1.0","4.0","3.0","4.0","2.0","3.0"
"4130","CPXM2","3.0","2.0","3.0","4.0","2.0","4.0","2.0","4.0","4.0","2.0","2.0","2.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","3.0"
"4131","CPZ","3.0","2.0","4.0","3.0","2.0","3.0","1.0","4.0","3.0","2.0","3.0","3.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","3.0"
"4132","CR1","4.0","3.0","3.0","3.0","2.0","4.0","2.0","3.0","6.0","1.0","3.0","4.0","2.0","2.0","5.0","2.0","5.0","3.0","4.0","3.0","4.0"
"4133","CR1L","4.0","3.0","3.0","3.0","2.0","4.0","2.0","3.0","6.0","1.0","3.0","4.0","2.0","2.0","5.0","2.0","5.0","3.0","4.0","3.0","4.0"
"4134","CR2","4.0","3.0","3.0","3.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","2.0","2.0","5.0","2.0","5.0","3.0","4.0","3.0","4.0"
"4135","CRABP1","3.0","2.0","3.0","3.0","3.0","4.0","2.0","4.0","5.0","3.0","3.0","4.0","2.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","3.0"
"4136","CRABP2","2.0","3.0","3.0","3.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","2.0","2.0","5.0","2.0","5.0","3.0","4.0","3.0","4.0"
"4137","CRACR2A","3.0","2.0","4.0","4.0","2.0","3.0","1.0","4.0","3.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","4.0","3.0","4.0","1.0","4.0"
"4138","CRACR2B","3.0","2.0","3.0","4.0","2.0","2.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","3.0","2.0","4.0","2.0","4.0","1.0","3.0"
"4139","CRADD","3.0","2.0","4.0","4.0","2.0","4.0","2.0","4.0","7.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"4140","CRAMP1","3.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"4141","CRAT","3.0","3.0","4.0","4.0","2.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","5.0","1.0","4.0","4.0","4.0","2.0","4.0"
"4142","CRB1","5.0","3.0","3.0","4.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","5.0","3.0","2.0","6.0","2.0","5.0","3.0","4.0","3.0","4.0"
"4143","CRB2","3.0","3.0","4.0","4.0","2.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","5.0","1.0","4.0","4.0","4.0","2.0","5.0"
"4144","CRB3","4.0","2.0","3.0","4.0","2.0","4.0","2.0","4.0","4.0","1.0","3.0","4.0","3.0","1.0","4.0","2.0","2.0","3.0","4.0","2.0","3.0"
"4145","CRBN","4.0","3.0","3.0","3.0","2.0","3.0","2.0","2.0","3.0","3.0","4.0","4.0","3.0","2.0","5.0","2.0","4.0","4.0","4.0","1.0","4.0"
"4146","CRCP","4.0","2.0","4.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","3.0"
"4147","CRCT1","4.0","3.0","3.0","4.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","2.0","2.0","5.0","2.0","5.0","3.0","4.0","3.0","4.0"
"4148","CREB1","4.0","1.0","4.0","4.0","1.0","3.0","2.0","2.0","5.0","2.0","3.0","3.0","3.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","3.0"
"4149","CREB3","2.0","2.0","4.0","4.0","1.0","2.0","2.0","2.0","3.0","1.0","2.0","2.0","3.0","2.0","3.0","1.0","2.0","4.0","3.0","2.0","5.0"
"4150","CREB3L1","3.0","2.0","3.0","5.0","2.0","4.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","2.0","3.0","2.0","3.0","4.0","4.0","1.0","3.0"
"4151","CREB3L2","4.0","2.0","4.0","2.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","3.0","1.0","4.0","2.0","2.0","3.0","4.0","2.0","3.0"
"4152","CREB3L3","4.0","2.0","3.0","4.0","2.0","4.0","2.0","4.0","4.0","1.0","2.0","4.0","3.0","1.0","3.0","2.0","2.0","3.0","4.0","2.0","3.0"
"4153","CREB3L4","4.0","3.0","3.0","3.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","2.0","2.0","5.0","2.0","5.0","3.0","4.0","3.0","4.0"
"4154","CREB5","4.0","2.0","4.0","3.0","3.0","6.0","2.0","4.0","9.0","2.0","4.0","5.0","4.0","3.0","4.0","2.0","4.0","4.0","4.0","3.0","4.0"
"4155","CREBBP","3.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","4.0","2.0","4.0","3.0","2.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"4156","CREBL2","3.0","2.0","4.0","4.0","2.0","3.0","1.0","4.0","3.0","2.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","1.0","2.0"
"4157","CREBRF","4.0","2.0","4.0","4.0","2.0","4.0","1.0","4.0","6.0","2.0","4.0","4.0","3.0","2.0","5.0","2.0","4.0","4.0","4.0","2.0","2.0"
"4158","CREBZF","5.0","1.0","3.0","5.0","2.0","4.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","3.0","2.0","3.0","4.0","4.0","2.0","3.0"
"4159","CREG1","2.0","3.0","3.0","3.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","2.0","2.0","5.0","2.0","5.0","2.0","4.0","3.0","4.0"
"4160","CREG2","4.0","1.0","4.0","4.0","2.0","3.0","2.0","3.0","5.0","2.0","3.0","4.0","3.0","2.0","5.0","2.0","4.0","3.0","4.0","2.0","4.0"
"4161","CRELD1","4.0","3.0","3.0","4.0","2.0","3.0","2.0","2.0","3.0","2.0","4.0","4.0","3.0","2.0","5.0","2.0","4.0","2.0","4.0","1.0","4.0"
"4162","CRELD2","2.0","2.0","2.0","3.0","1.0","3.0","1.0","2.0","3.0","1.0","2.0","2.0","2.0","2.0","4.0","1.0","2.0","2.0","2.0","1.0","2.0"
"4163","CREM","3.0","2.0","3.0","4.0","1.0","4.0","2.0","6.0","5.0","1.0","1.0","4.0","3.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","4.0"
"4164","CRH","4.0","3.0","3.0","5.0","2.0","4.0","2.0","2.0","6.0","2.0","2.0","4.0","2.0","2.0","3.0","1.0","4.0","4.0","3.0","1.0","4.0"
"4165","CRHBP","3.0","2.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","2.0","2.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","4.0"
"4166","CRHR1","4.0","2.0","4.0","4.0","2.0","4.0","2.0","4.0","5.0","2.0","3.0","4.0","3.0","3.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0"
"4167","CRHR2","4.0","2.0","4.0","3.0","3.0","6.0","2.0","4.0","9.0","2.0","4.0","5.0","4.0","3.0","4.0","2.0","4.0","4.0","4.0","3.0","4.0"
"4168","CRIM1","4.0","2.0","4.0","6.0","2.0","3.0","2.0","4.0","5.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","3.0","4.0","3.0","2.0","4.0"
"4169","CRIP1","4.0","3.0","3.0","3.0","2.0","3.0","2.0","2.0","3.0","1.0","3.0","4.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","3.0"
